Begin epxeriment: cont_weight: 0.01 epoch:1000 der1:0.3 der2:0 dfr1:0 dfr2:0.4
./run_pre_bkd.py:18: DeprecationWarning: the imp module is deprecated in favour of importlib; see the module's documentation for alternative uses
  import imp
Namespace(add_edge_rate_1=0.0, add_edge_rate_2=0.0, cl_activation='relu', cl_base_model='GCNConv', cl_lr=0.0002, cl_num_epochs=1000, cl_num_hidden=128, cl_num_layers=2, cl_num_proj_hidden=128, cl_weight_decay=1e-05, config='config.yaml', cont_batch_size=0, cont_weight=0.01, cuda=True, dataset='Cora', debug=True, defense_mode='none', device_id=2, dis_weight=1, drop_edge_rate_1=0.3, drop_edge_rate_2=0.0, drop_feat_rate_1=0.0, drop_feat_rate_2=0.4, dropout=0.5, epochs=200, evaluate_mode='1by1', gpu_id=0, hidden=128, homo_boost_thrd=0.5, homo_loss_weight=0.0, inner=1, lr=0.01, model='GCN', no_cuda=False, proj_hidden=128, prune_thr=0.2, seed=10, selection_method='cluster_degree', target_class=0, target_loss_weight=1, tau=0.4, temperature=0.5, test_model='GCN', thrd=0.5, train_lr=0.01, trigger_size=3, trojan_epochs=200, use_vs_number=True, vs_number=5, vs_ratio=0, weight_decay=0.0005)
#Attach Nodes:5
./selected_nodes/Cora/Overall/seed265/nodes.txt
precent of left attach nodes: 1.000
/home/mfl5681/project-contrastive/RobustCL/model.py:226: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.labels = torch.tensor(labels, dtype=torch.long)
Epoch 410, training loss: 0.12030600756406784 = 0.05335892736911774 + 0.01 * 6.694708347320557
Epoch 410, val loss: 0.8078885078430176
Epoch 420, training loss: 0.11420080065727234 = 0.04728463664650917 + 0.01 * 6.691616058349609
Epoch 420, val loss: 0.8225694894790649
Epoch 430, training loss: 0.10891371965408325 = 0.04210042208433151 + 0.01 * 6.681329727172852
Epoch 430, val loss: 0.8370145559310913
Epoch 440, training loss: 0.10441923141479492 = 0.03766288980841637 + 0.01 * 6.675634384155273
Epoch 440, val loss: 0.8512477278709412
Epoch 450, training loss: 0.10055140405893326 = 0.033848248422145844 + 0.01 * 6.670315742492676
Epoch 450, val loss: 0.865227997303009
Epoch 460, training loss: 0.09721224009990692 = 0.030557475984096527 + 0.01 * 6.665476322174072
Epoch 460, val loss: 0.8787932395935059
Epoch 470, training loss: 0.09431052953004837 = 0.027708202600479126 + 0.01 * 6.6602325439453125
Epoch 470, val loss: 0.8919839859008789
Epoch 480, training loss: 0.09180660545825958 = 0.02523178979754448 + 0.01 * 6.6574811935424805
Epoch 480, val loss: 0.9047466516494751
Epoch 490, training loss: 0.08960600197315216 = 0.023068690672516823 + 0.01 * 6.653731822967529
Epoch 490, val loss: 0.9171384572982788
Epoch 500, training loss: 0.0876866951584816 = 0.02117137610912323 + 0.01 * 6.65153169631958
Epoch 500, val loss: 0.9291658401489258
Epoch 510, training loss: 0.08594143390655518 = 0.01950010471045971 + 0.01 * 6.644132614135742
Epoch 510, val loss: 0.9408285617828369
Epoch 520, training loss: 0.08444029092788696 = 0.018022410571575165 + 0.01 * 6.641788482666016
Epoch 520, val loss: 0.9520737528800964
Epoch 530, training loss: 0.08306637406349182 = 0.016710568219423294 + 0.01 * 6.635581016540527
Epoch 530, val loss: 0.9629639983177185
Epoch 540, training loss: 0.08187420666217804 = 0.015540669672191143 + 0.01 * 6.633354187011719
Epoch 540, val loss: 0.9735247492790222
Epoch 550, training loss: 0.08082703500986099 = 0.014493509195744991 + 0.01 * 6.633352279663086
Epoch 550, val loss: 0.9837393164634705
Epoch 560, training loss: 0.07978154718875885 = 0.013553469441831112 + 0.01 * 6.62280797958374
Epoch 560, val loss: 0.9936473965644836
Epoch 570, training loss: 0.07889029383659363 = 0.01270598080009222 + 0.01 * 6.618431091308594
Epoch 570, val loss: 1.0032541751861572
Epoch 580, training loss: 0.07811668515205383 = 0.01193958893418312 + 0.01 * 6.617709159851074
Epoch 580, val loss: 1.0125881433486938
Epoch 590, training loss: 0.0773308128118515 = 0.0112446965649724 + 0.01 * 6.608611583709717
Epoch 590, val loss: 1.0216174125671387
Epoch 600, training loss: 0.07681494206190109 = 0.01061243750154972 + 0.01 * 6.620250701904297
Epoch 600, val loss: 1.0303844213485718
Epoch 610, training loss: 0.07604234665632248 = 0.010035740211606026 + 0.01 * 6.600660800933838
Epoch 610, val loss: 1.0389385223388672
Epoch 620, training loss: 0.07558407634496689 = 0.009508193470537663 + 0.01 * 6.607588768005371
Epoch 620, val loss: 1.0472520589828491
Epoch 630, training loss: 0.07496632635593414 = 0.009024634957313538 + 0.01 * 6.594169616699219
Epoch 630, val loss: 1.0553274154663086
Epoch 640, training loss: 0.0744442418217659 = 0.008580067194998264 + 0.01 * 6.5864176750183105
Epoch 640, val loss: 1.0631680488586426
Epoch 650, training loss: 0.07416059076786041 = 0.008170146495103836 + 0.01 * 6.599045276641846
Epoch 650, val loss: 1.07081139087677
Epoch 660, training loss: 0.07355180382728577 = 0.007792002055794001 + 0.01 * 6.575980186462402
Epoch 660, val loss: 1.0782469511032104
Epoch 670, training loss: 0.07325989753007889 = 0.007442092057317495 + 0.01 * 6.581780433654785
Epoch 670, val loss: 1.085472583770752
Epoch 680, training loss: 0.07285593450069427 = 0.007117387373000383 + 0.01 * 6.573854446411133
Epoch 680, val loss: 1.0925521850585938
Epoch 690, training loss: 0.07245761156082153 = 0.0068158432841300964 + 0.01 * 6.5641770362854
Epoch 690, val loss: 1.0994504690170288
Epoch 700, training loss: 0.07222123444080353 = 0.006535152904689312 + 0.01 * 6.56860876083374
Epoch 700, val loss: 1.1061683893203735
Epoch 710, training loss: 0.07190432399511337 = 0.006273569073528051 + 0.01 * 6.563075542449951
Epoch 710, val loss: 1.1127173900604248
Epoch 720, training loss: 0.07160083949565887 = 0.006029495969414711 + 0.01 * 6.557134628295898
Epoch 720, val loss: 1.1191242933273315
Epoch 730, training loss: 0.07125714421272278 = 0.005801028106361628 + 0.01 * 6.545611381530762
Epoch 730, val loss: 1.1253806352615356
Epoch 740, training loss: 0.07104936242103577 = 0.005586755927652121 + 0.01 * 6.546260356903076
Epoch 740, val loss: 1.1314760446548462
Epoch 750, training loss: 0.07077619433403015 = 0.005385817494243383 + 0.01 * 6.539038181304932
Epoch 750, val loss: 1.1374609470367432
Epoch 760, training loss: 0.07062656432390213 = 0.005196909420192242 + 0.01 * 6.542965888977051
Epoch 760, val loss: 1.143283486366272
Epoch 770, training loss: 0.07040948420763016 = 0.005018966738134623 + 0.01 * 6.539052486419678
Epoch 770, val loss: 1.149003028869629
Epoch 780, training loss: 0.0702064260840416 = 0.004851349629461765 + 0.01 * 6.535507678985596
Epoch 780, val loss: 1.1545597314834595
Epoch 790, training loss: 0.07002745568752289 = 0.004693228285759687 + 0.01 * 6.533422946929932
Epoch 790, val loss: 1.1600290536880493
Epoch 800, training loss: 0.06985914707183838 = 0.004543973132967949 + 0.01 * 6.531517505645752
Epoch 800, val loss: 1.165350079536438
Epoch 810, training loss: 0.06962830573320389 = 0.004402729216963053 + 0.01 * 6.522558212280273
Epoch 810, val loss: 1.1705836057662964
Epoch 820, training loss: 0.0695563480257988 = 0.0042691840790212154 + 0.01 * 6.528717041015625
Epoch 820, val loss: 1.1756560802459717
Epoch 830, training loss: 0.06928262859582901 = 0.004142493009567261 + 0.01 * 6.514013767242432
Epoch 830, val loss: 1.1806648969650269
Epoch 840, training loss: 0.06933723390102386 = 0.00402225274592638 + 0.01 * 6.531497955322266
Epoch 840, val loss: 1.185587763786316
Epoch 850, training loss: 0.06909982860088348 = 0.003908189013600349 + 0.01 * 6.519164085388184
Epoch 850, val loss: 1.190354824066162
Epoch 860, training loss: 0.06890422105789185 = 0.003799783531576395 + 0.01 * 6.510444164276123
Epoch 860, val loss: 1.1950269937515259
Epoch 870, training loss: 0.0687459260225296 = 0.003696823725476861 + 0.01 * 6.504910469055176
Epoch 870, val loss: 1.1996209621429443
Epoch 880, training loss: 0.0686359703540802 = 0.003598622977733612 + 0.01 * 6.503734588623047
Epoch 880, val loss: 1.2041270732879639
Epoch 890, training loss: 0.06869141012430191 = 0.0035050371661782265 + 0.01 * 6.518637180328369
Epoch 890, val loss: 1.2084964513778687
Epoch 900, training loss: 0.068447045981884 = 0.003415830200538039 + 0.01 * 6.503121852874756
Epoch 900, val loss: 1.2128404378890991
Epoch 910, training loss: 0.06834337115287781 = 0.0033306675031781197 + 0.01 * 6.501270294189453
Epoch 910, val loss: 1.217082142829895
Epoch 920, training loss: 0.06827124208211899 = 0.003249373519793153 + 0.01 * 6.502186298370361
Epoch 920, val loss: 1.221192479133606
Epoch 930, training loss: 0.06809698045253754 = 0.0031715489458292723 + 0.01 * 6.4925432205200195
Epoch 930, val loss: 1.225287914276123
Epoch 940, training loss: 0.0681329295039177 = 0.003097178880125284 + 0.01 * 6.503575801849365
Epoch 940, val loss: 1.2292588949203491
Epoch 950, training loss: 0.06795641034841537 = 0.0030260977800935507 + 0.01 * 6.4930315017700195
Epoch 950, val loss: 1.2331706285476685
Epoch 960, training loss: 0.06780111789703369 = 0.002957989927381277 + 0.01 * 6.484312534332275
Epoch 960, val loss: 1.2369928359985352
Epoch 970, training loss: 0.06774313747882843 = 0.0028927302919328213 + 0.01 * 6.485040664672852
Epoch 970, val loss: 1.2407516241073608
Epoch 980, training loss: 0.06775350123643875 = 0.002830034587532282 + 0.01 * 6.49234676361084
Epoch 980, val loss: 1.2444206476211548
Epoch 990, training loss: 0.06763587146997452 = 0.0027699472848325968 + 0.01 * 6.4865922927856445
Epoch 990, val loss: 1.2480719089508057
=== picking the best model according to the performance on validation ===
target class rate on Vs: 1.0000
accuracy on clean test nodes: 0.8222
Overall ASR: 0.4982
Flip ASR: 0.4000/225 nodes
./selected_nodes/Cora/Overall/seed125/nodes.txt
precent of left attach nodes: 1.000
=== training gcn model ===
Epoch 0, training loss: 2.022585391998291 = 1.9388468265533447 + 0.01 * 8.373860359191895
Epoch 0, val loss: 1.9396296739578247
Epoch 10, training loss: 2.0129098892211914 = 1.929172158241272 + 0.01 * 8.373761177062988
Epoch 10, val loss: 1.929377794265747
Epoch 20, training loss: 2.0008482933044434 = 1.9171137809753418 + 0.01 * 8.373443603515625
Epoch 20, val loss: 1.9162260293960571
Epoch 30, training loss: 1.9839510917663574 = 1.90022611618042 + 0.01 * 8.372493743896484
Epoch 30, val loss: 1.8975154161453247
Epoch 40, training loss: 1.9593888521194458 = 1.8757076263427734 + 0.01 * 8.368119239807129
Epoch 40, val loss: 1.8704038858413696
Epoch 50, training loss: 1.9248631000518799 = 1.8414636850357056 + 0.01 * 8.339944839477539
Epoch 50, val loss: 1.8334589004516602
Epoch 60, training loss: 1.881229281425476 = 1.7993688583374023 + 0.01 * 8.186041831970215
Epoch 60, val loss: 1.791133999824524
Epoch 70, training loss: 1.8320720195770264 = 1.7547591924667358 + 0.01 * 7.731277942657471
Epoch 70, val loss: 1.7510093450546265
Epoch 80, training loss: 1.7740854024887085 = 1.701884388923645 + 0.01 * 7.220096588134766
Epoch 80, val loss: 1.7060648202896118
Epoch 90, training loss: 1.7014539241790771 = 1.6305551528930664 + 0.01 * 7.089874744415283
Epoch 90, val loss: 1.645484209060669
Epoch 100, training loss: 1.6078858375549316 = 1.5372494459152222 + 0.01 * 7.0636396408081055
Epoch 100, val loss: 1.5661002397537231
Epoch 110, training loss: 1.4960238933563232 = 1.4257216453552246 + 0.01 * 7.030227184295654
Epoch 110, val loss: 1.474866271018982
Epoch 120, training loss: 1.3749938011169434 = 1.305008053779602 + 0.01 * 6.998571395874023
Epoch 120, val loss: 1.378165364265442
Epoch 130, training loss: 1.2532440423965454 = 1.1835544109344482 + 0.01 * 6.968964099884033
Epoch 130, val loss: 1.2826071977615356
Epoch 140, training loss: 1.138191819190979 = 1.0688695907592773 + 0.01 * 6.932225227355957
Epoch 140, val loss: 1.1939910650253296
Epoch 150, training loss: 1.035179853439331 = 0.9662345051765442 + 0.01 * 6.894532203674316
Epoch 150, val loss: 1.1166070699691772
Epoch 160, training loss: 0.9458451271057129 = 0.877198338508606 + 0.01 * 6.864681720733643
Epoch 160, val loss: 1.0512893199920654
Epoch 170, training loss: 0.8696824908256531 = 0.8012728095054626 + 0.01 * 6.840970039367676
Epoch 170, val loss: 0.9973840713500977
Epoch 180, training loss: 0.8053948879241943 = 0.7372122406959534 + 0.01 * 6.818267822265625
Epoch 180, val loss: 0.9533238410949707
Epoch 190, training loss: 0.7507513165473938 = 0.6827706098556519 + 0.01 * 6.798072338104248
Epoch 190, val loss: 0.9174355864524841
Epoch 200, training loss: 0.7026667594909668 = 0.6348694562911987 + 0.01 * 6.77972936630249
Epoch 200, val loss: 0.8876187205314636
Epoch 210, training loss: 0.6582630276679993 = 0.5905852317810059 + 0.01 * 6.767779350280762
Epoch 210, val loss: 0.8623093366622925
Epoch 220, training loss: 0.6150857210159302 = 0.5475280284881592 + 0.01 * 6.7557692527771
Epoch 220, val loss: 0.8405048251152039
Epoch 230, training loss: 0.571598470211029 = 0.504130482673645 + 0.01 * 6.746798515319824
Epoch 230, val loss: 0.8210139274597168
Epoch 240, training loss: 0.5275420546531677 = 0.4601302444934845 + 0.01 * 6.741180896759033
Epoch 240, val loss: 0.8031562566757202
Epoch 250, training loss: 0.4833572804927826 = 0.4159797728061676 + 0.01 * 6.737750053405762
Epoch 250, val loss: 0.7871175408363342
Epoch 260, training loss: 0.43995729088783264 = 0.3726312518119812 + 0.01 * 6.73260498046875
Epoch 260, val loss: 0.7734758257865906
Epoch 270, training loss: 0.3981890082359314 = 0.33092066645622253 + 0.01 * 6.726834297180176
Epoch 270, val loss: 0.762729823589325
Epoch 280, training loss: 0.3591012954711914 = 0.29175764322280884 + 0.01 * 6.7343668937683105
Epoch 280, val loss: 0.7554193139076233
Epoch 290, training loss: 0.3234778344631195 = 0.25630518794059753 + 0.01 * 6.717263698577881
Epoch 290, val loss: 0.7521629929542542
Epoch 300, training loss: 0.29202112555503845 = 0.2248942255973816 + 0.01 * 6.712689399719238
Epoch 300, val loss: 0.7530240416526794
Epoch 310, training loss: 0.26450490951538086 = 0.1974450796842575 + 0.01 * 6.705984592437744
Epoch 310, val loss: 0.7575197815895081
Epoch 320, training loss: 0.2410203069448471 = 0.17372940480709076 + 0.01 * 6.729090690612793
Epoch 320, val loss: 0.7653970122337341
Epoch 330, training loss: 0.22038257122039795 = 0.15340997278690338 + 0.01 * 6.697259902954102
Epoch 330, val loss: 0.7762876749038696
Epoch 340, training loss: 0.2029283046722412 = 0.13600386679172516 + 0.01 * 6.692443370819092
Epoch 340, val loss: 0.789307177066803
Epoch 350, training loss: 0.18790681660175323 = 0.12104511260986328 + 0.01 * 6.68617057800293
Epoch 350, val loss: 0.8040196895599365
Epoch 360, training loss: 0.17492952942848206 = 0.10812009125947952 + 0.01 * 6.680944919586182
Epoch 360, val loss: 0.8199750185012817
Epoch 370, training loss: 0.16391651332378387 = 0.09687953442335129 + 0.01 * 6.70369815826416
Epoch 370, val loss: 0.8369389176368713
Epoch 380, training loss: 0.15386974811553955 = 0.08704634755849838 + 0.01 * 6.682339668273926
Epoch 380, val loss: 0.8543914556503296
Epoch 390, training loss: 0.14507031440734863 = 0.07836399972438812 + 0.01 * 6.670630931854248
Epoch 390, val loss: 0.8723092675209045
Epoch 400, training loss: 0.1373213827610016 = 0.07064837217330933 + 0.01 * 6.667301654815674
Epoch 400, val loss: 0.8904580473899841
Epoch 410, training loss: 0.13037794828414917 = 0.06375084072351456 + 0.01 * 6.662710666656494
Epoch 410, val loss: 0.9088770151138306
Epoch 420, training loss: 0.12413491308689117 = 0.05752686783671379 + 0.01 * 6.6608052253723145
Epoch 420, val loss: 0.9273405075073242
Epoch 430, training loss: 0.11873309314250946 = 0.05190948396921158 + 0.01 * 6.682361125946045
Epoch 430, val loss: 0.945859432220459
Epoch 440, training loss: 0.11342233419418335 = 0.046829357743263245 + 0.01 * 6.659297466278076
Epoch 440, val loss: 0.9643649458885193
Epoch 450, training loss: 0.10873611271381378 = 0.04221291467547417 + 0.01 * 6.652319431304932
Epoch 450, val loss: 0.9828458428382874
Epoch 460, training loss: 0.10456198453903198 = 0.038078658282756805 + 0.01 * 6.648332595825195
Epoch 460, val loss: 1.0012224912643433
Epoch 470, training loss: 0.10086782276630402 = 0.034421633929014206 + 0.01 * 6.644618988037109
Epoch 470, val loss: 1.0195093154907227
Epoch 480, training loss: 0.0977543517947197 = 0.031225750222802162 + 0.01 * 6.652860641479492
Epoch 480, val loss: 1.0375803709030151
Epoch 490, training loss: 0.0948440432548523 = 0.028438951820135117 + 0.01 * 6.640508651733398
Epoch 490, val loss: 1.0553390979766846
Epoch 500, training loss: 0.09236949682235718 = 0.02600250393152237 + 0.01 * 6.636699676513672
Epoch 500, val loss: 1.0727245807647705
Epoch 510, training loss: 0.09018389880657196 = 0.02385805919766426 + 0.01 * 6.6325836181640625
Epoch 510, val loss: 1.0894830226898193
Epoch 520, training loss: 0.08824530988931656 = 0.021958982571959496 + 0.01 * 6.62863302230835
Epoch 520, val loss: 1.1058975458145142
Epoch 530, training loss: 0.08660610765218735 = 0.02027706615626812 + 0.01 * 6.632904052734375
Epoch 530, val loss: 1.1216216087341309
Epoch 540, training loss: 0.08497091382741928 = 0.018785392865538597 + 0.01 * 6.618551731109619
Epoch 540, val loss: 1.13687002658844
Epoch 550, training loss: 0.08373279124498367 = 0.017457420006394386 + 0.01 * 6.627537727355957
Epoch 550, val loss: 1.1515053510665894
Epoch 560, training loss: 0.08241575956344604 = 0.016271602362394333 + 0.01 * 6.614415645599365
Epoch 560, val loss: 1.165605902671814
Epoch 570, training loss: 0.08128189295530319 = 0.01520605944097042 + 0.01 * 6.607583522796631
Epoch 570, val loss: 1.1792880296707153
Epoch 580, training loss: 0.08025979995727539 = 0.01424393616616726 + 0.01 * 6.60158634185791
Epoch 580, val loss: 1.1924864053726196
Epoch 590, training loss: 0.07937890291213989 = 0.01337323896586895 + 0.01 * 6.600566387176514
Epoch 590, val loss: 1.205235242843628
Epoch 600, training loss: 0.07855458557605743 = 0.012583554722368717 + 0.01 * 6.597103595733643
Epoch 600, val loss: 1.2175780534744263
Epoch 610, training loss: 0.07778318226337433 = 0.011864248663187027 + 0.01 * 6.591893196105957
Epoch 610, val loss: 1.229575753211975
Epoch 620, training loss: 0.0772179439663887 = 0.011207306757569313 + 0.01 * 6.6010637283325195
Epoch 620, val loss: 1.2411645650863647
Epoch 630, training loss: 0.07649566233158112 = 0.010605884715914726 + 0.01 * 6.588977813720703
Epoch 630, val loss: 1.252345323562622
Epoch 640, training loss: 0.07580964267253876 = 0.010054056532680988 + 0.01 * 6.575558662414551
Epoch 640, val loss: 1.2632490396499634
Epoch 650, training loss: 0.0753917321562767 = 0.009546732529997826 + 0.01 * 6.584499835968018
Epoch 650, val loss: 1.2738202810287476
Epoch 660, training loss: 0.07488587498664856 = 0.009079208597540855 + 0.01 * 6.580666542053223
Epoch 660, val loss: 1.2840352058410645
Epoch 670, training loss: 0.0743134543299675 = 0.008647216483950615 + 0.01 * 6.566623687744141
Epoch 670, val loss: 1.294021725654602
Epoch 680, training loss: 0.07402689754962921 = 0.008247279562056065 + 0.01 * 6.5779619216918945
Epoch 680, val loss: 1.303678274154663
Epoch 690, training loss: 0.07351937890052795 = 0.00787646695971489 + 0.01 * 6.564291477203369
Epoch 690, val loss: 1.313063144683838
Epoch 700, training loss: 0.07310488820075989 = 0.007532116957008839 + 0.01 * 6.557277202606201
Epoch 700, val loss: 1.3222036361694336
Epoch 710, training loss: 0.07275061309337616 = 0.007211368530988693 + 0.01 * 6.553924560546875
Epoch 710, val loss: 1.3311079740524292
Epoch 720, training loss: 0.07256289571523666 = 0.006911770440638065 + 0.01 * 6.565112590789795
Epoch 720, val loss: 1.339770793914795
Epoch 730, training loss: 0.0721832737326622 = 0.006631913594901562 + 0.01 * 6.555136203765869
Epoch 730, val loss: 1.3481957912445068
Epoch 740, training loss: 0.07198649644851685 = 0.0063698855228722095 + 0.01 * 6.5616607666015625
Epoch 740, val loss: 1.3563836812973022
Epoch 750, training loss: 0.07161502540111542 = 0.006124272011220455 + 0.01 * 6.549075126647949
Epoch 750, val loss: 1.364472508430481
Epoch 760, training loss: 0.07127293944358826 = 0.005893693771213293 + 0.01 * 6.537924766540527
Epoch 760, val loss: 1.372274398803711
Epoch 770, training loss: 0.0710308775305748 = 0.005677048582583666 + 0.01 * 6.5353827476501465
Epoch 770, val loss: 1.3799095153808594
